titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
I Treni Di Tozeur;Alice e Battiato;1984;975;884;1319;1409;1201;1316;1378;1755;1510;1454;0;0;0;0;0;0
Empire State Of Mind;Alicia Keys;2009;0;0;0;0;0;0;0;0;0;0;0;712;173;72;110;129
Girl On Fire;Alicia Keys;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1826;1223;1812
Fallin';Alicia Keys;2001;0;0;0;0;0;0;618;1052;1271;1432;1238;938;1199;1178;1446;1948
If I Ain't Got You;Alicia Keys;2003;0;0;0;0;0;0;0;0;762;0;1937;1688;1661;1216;1744;0
No One;Alicia Keys;2007;0;0;0;0;0;0;0;0;0;0;1686;1516;1758;1210;0;0
Hollywood Seven;Alides Hidding;1980;0;1439;1637;1555;1750;0;0;0;0;0;0;0;0;0;0;0
All Cried Out;Alison Moyet;1985;0;792;1009;555;816;890;928;1242;980;952;1741;1276;1769;1792;1789;0
That Ole Devil Called Love;Alison Moyet;1985;838;804;508;592;687;580;684;1048;602;687;1720;1301;1500;0;0;0
Moi… Lolita;Alizée;2001;0;0;0;0;0;0;0;0;1481;0;0;0;0;0;0;0
I Swear;All 4 one;1994;0;0;1774;0;0;0;0;0;0;0;0;0;0;0;0;0
Never Ever;All Saints;1997;0;0;0;1303;1191;1082;1451;1635;1423;1425;0;0;0;0;0;0
Are You Sure;Allisons;1961;1554;1309;1582;1322;1330;0;0;0;0;0;0;0;0;0;0;0
Jessica;Allman Brothers Band;1976;394;439;274;312;187;407;353;408;304;326;615;581;762;955;952;1186
Ramblin' Man;Allman Brothers Band;1973;819;0;974;932;1027;947;1066;1355;967;1081;1795;1328;1632;1952;0;0
Forever Young;Alphaville;1984;150;100;70;69;68;102;97;131;95;96;187;149;195;266;253;281
Big In Japan;Alphaville;1984;568;477;468;426;763;721;640;1080;961;789;1358;1014;1135;1409;1384;1461
Sounds Like A Melody;Alphaville;1995;0;1744;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wheelchair Groupie;Alquin;1975;0;0;0;0;0;0;890;1053;1260;1551;0;974;1181;1483;1763;1820
Pretend;Alvin Stardust;1981;1570;1461;1285;0;0;0;0;0;0;0;0;0;0;0;0;0
Uma Casa Portugesa;Amalia Rodriguez;1956;621;844;805;929;704;663;260;1093;728;652;0;1806;1953;0;0;0
Follow Me;Amanda Lear;1978;1058;821;972;1107;1230;998;1178;1340;992;1133;0;1762;0;0;0;0
Beautiful Goodbye;Amanda Marshall;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1378
(If Paradise Is) Half As Nice;Amen Corner;1969;0;1442;1394;1229;1154;1139;1501;1887;1506;1469;0;1963;0;0;0;0
Gin House Blues;Amen Corner;1967;1639;856;0;0;0;0;1514;0;1966;0;0;0;0;0;0;0
A Horse With No Name;America;1972;175;245;141;96;109;135;119;155;113;126;199;184;244;223;297;334
Ventura Highway;America;1972;0;0;0;0;1314;1712;1428;1680;1474;1625;1599;1418;1697;1940;1876;1970
I Need You;America;1972;0;0;0;0;1828;0;0;0;0;0;0;0;0;0;0;0
Sister Golden Hair;America;1975;0;0;0;950;1035;1215;1419;1653;1184;1348;1752;1348;1863;0;0;0
Bend Me Shape Me;American Breed;1968;1904;1417;1527;0;0;0;0;0;0;0;0;0;0;0;0;0
Knock On Wood;Amii Stewart;1979;0;887;1134;1340;1914;1976;1882;0;0;0;0;0;0;0;0;0
This Is The Life;Amy Macdonald;2008;0;0;0;0;0;0;0;0;0;0;146;121;243;299;467;468
