titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
The Wanderer;Status Quo;1984;0;1530;762;1881;1937;1571;1496;1798;0;1865;0;0;0;0;0;0
Stuck In The Middle With You;Stealers Wheel;1973;1355;1047;1107;1186;1348;1013;1181;1430;1336;1262;1323;1334;1195;1195;934;1304
Late Again;Stealers Wheel;1973;810;674;820;748;806;867;902;1002;1087;925;1223;1261;1227;1491;1537;1716
All Around My Hat;Steeleye Span;1976;1065;1242;751;1134;1403;1324;1441;1589;1650;1453;0;0;0;0;0;0
Do It Again;Steely Dan;1972;634;498;453;587;566;675;896;1041;1111;823;1004;963;1085;1107;1112;1268
Rikki Don't Lose That Number;Steely Dan;1974;728;839;792;613;827;926;980;1121;1144;986;1178;1153;1287;1564;1390;1562
Reelin' In The Years;Steely Dan;1973;1266;1286;1510;1319;1332;1480;1608;1538;1844;1565;1233;1317;1381;1555;1549;1656
Papa;Stef Bos;1991;116;86;98;87;65;94;43;28;43;44;72;84;51;75;80;101
Ik Heb Je Lief;Stef Bos;1992;0;0;0;0;0;0;1145;680;628;1071;779;829;801;913;810;920
Hilton Barcelona;Stef Bos;1994;919;916;1115;910;785;1243;1222;1380;1201;1164;1486;1363;1699;1976;1818;0
Never Knew Love Like This Before;Stephanie Mills;1980;1871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
On And On;Stephen Bishop;1977;1977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love The One You're With;Stephen Stills;1971;0;0;0;648;0;0;0;0;0;0;0;0;0;0;0;0
Born To Be Wild;Steppenwolf;1968;272;281;509;489;459;323;587;516;710;509;764;884;659;566;595;884
Maybe Tomorrow;Stereophonics;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1747
Make Me Smile (Come Up And See Me);Steve Harley & Cockney Rebel;1975;391;300;283;412;522;665;499;590;698;569;1826;833;914;934;889;983
Fly Like An Eagle;Steve Miller Band;1976;788;697;897;719;749;729;1038;780;1064;829;1015;935;871;1009;1320;1386
The Joker;Steve Miller Band;1973;1283;869;1123;1034;1414;1064;1529;1758;1680;1478;1211;1091;1151;1354;1399;1734
Abracadabra;Steve Miller Band;1982;1272;1241;1773;1472;1505;1539;1904;1625;1834;1649;0;0;0;1703;0;0
Rock 'n Me;Steve Miller Band;1976;0;1628;1791;0;0;0;0;0;0;0;0;0;0;0;0;0
Sympathy;Steve Rowland & the Family Dogg;1970;1022;1473;1322;1208;1040;1412;1621;1639;1737;1520;0;0;0;0;0;0
While You See A Chance;Steve Winwood;1981;1238;1235;884;1123;1112;1213;1251;1392;1313;1248;1419;1352;1501;1327;1451;1570
Higher Love;Steve Winwood;1986;0;1999;0;1873;0;0;0;0;0;0;0;0;0;0;0;0
The Poetry Man;Stevie Ann;2005;0;0;0;0;0;0;0;0;966;0;0;0;0;0;0;0
Stand Back;Stevie Nicks;1983;0;1745;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Superstition;Stevie Wonder;1973;603;898;1102;949;1009;817;1124;1101;1188;1047;786;561;485;590;411;525
I Wish;Stevie Wonder;1977;711;829;1157;726;1135;807;1093;1119;1107;1022;841;876;785;740;786;946
Sir Duke;Stevie Wonder;1977;968;893;962;1323;1251;1256;1278;1198;1526;1286;1145;1058;922;1163;1039;1156
Isn't She Lovely;Stevie Wonder;1976;682;0;1339;1043;1073;759;787;746;823;800;1954;926;819;841;914;1183
As;Stevie Wonder;1976;0;0;0;0;0;0;0;0;1467;0;1291;1318;1163;1507;1062;1546
Master Blaster (Jammin');Stevie Wonder;1980;0;823;1355;1516;1767;1790;1896;0;0;0;0;0;1771;1653;1760;2000
Don't You Worry 'bout A Thing;Stevie Wonder;1974;0;0;0;0;0;0;1971;0;0;0;0;1736;0;0;0;0
Happy Birthday;Stevie Wonder;1981;1609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Just Called To Say I Love You;Stevie Wonder;1984;366;654;871;1071;1420;1055;1104;1127;1245;1141;1579;1504;1525;1998;0;0
Yester Me, Yester You, Yesterday;Stevie Wonder;1969;1830;1811;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You Are The Sunshine Of My Life;Stevie Wonder;1973;947;0;1569;1510;1440;1704;1780;1631;1812;1664;0;1566;1852;0;0;0
How Come How Long;Stevie Wonder & Babyface;1997;887;1438;0;1857;0;0;0;0;0;0;0;0;0;0;0;0
Fragile;Sting;1988;136;249;99;118;99;105;98;90;115;98;117;110;111;78;74;86
Fields Of Gold;Sting;1993;530;451;379;283;265;303;349;276;266;273;353;278;227;198;127;157
Englishman In New York;Sting;1988;154;280;272;234;219;252;322;249;332;256;331;262;260;230;194;317
Russians;Sting;1985;199;302;334;309;337;356;519;621;733;504;625;607;576;600;517;652
Shape of my heart;Sting;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950
Moon Over Bourbon Street;Sting;1985;0;0;0;0;0;0;955;722;549;1005;0;688;749;977;894;1163
If You Love Somebody (Set Them Free);Sting;1985;0;0;0;0;0;0;0;0;0;0;1918;1866;1902;0;0;0
Fools Gold;Stone Roses;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1661
Brother Louie;Stories;1973;1939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Part Of The Union;Strawbs;1973;1923;0;1907;0;0;0;0;0;0;0;0;0;0;0;0;0
Runaway Boys;Stray Cats;1980;1417;1629;1717;0;1130;1670;1620;0;0;0;1957;1875;0;0;0;0
Why Did You Do It;Stretch;1976;1789;1409;1824;1954;1777;0;0;0;0;0;0;0;0;0;0;0
Formidable;Stromae;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1314;32
Papaoutai;Stromae;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1470;191
Alors On Danse;Stromae;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;572
My Ever Changing Moods;Style Council;1984;0;1183;1198;1335;1212;1143;1309;1508;1376;1341;1290;1561;1581;1614;1474;1589
Can't Give You Anything (But My Love);Stylistics;1975;0;1836;0;0;1879;0;0;0;0;0;0;0;0;0;0;0
Babe;Styx;1979;0;691;659;698;609;866;968;983;1140;900;1454;1396;1457;1211;1714;1776
Boat On The River;Styx;1980;0;0;0;0;1672;1717;1884;1852;0;1977;0;0;0;0;0;0
Norman;Sue Thompson;1962;1888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rappers Delight;Sugarhill Gang;1979;0;0;0;0;0;0;0;1795;1886;0;0;0;1725;1589;1267;1360
Don't Call Us, We'll Call You;Sugarloaf;1975;0;1316;1276;1534;0;0;0;0;0;0;0;0;0;0;0;0
She Was Naked;Supersister;1970;841;456;0;560;589;848;838;1129;1262;936;1126;1247;1335;1551;1749;1919
Radio;Supersister;1972;0;930;0;1396;1598;1870;1874;0;0;0;0;0;0;0;0;0
School;Supertramp;1974;26;17;16;14;21;34;37;36;52;33;46;44;37;35;37;41
Fool's Overture;Supertramp;1977;0;0;1916;0;0;180;141;133;139;174;107;98;101;64;70;72
The Logical Song;Supertramp;1979;152;154;198;158;252;288;342;366;422;317;453;474;421;452;319;403
Dreamer;Supertramp;1974;353;380;246;360;401;347;347;451;423;383;541;508;552;453;486;687
Breakfast In America;Supertramp;1979;379;533;354;459;541;584;576;625;690;587;695;948;759;582;683;845
Hide In Your Shell;Supertramp;1974;0;0;0;0;0;0;1308;966;843;1399;914;976;1076;849;887;931
Give A Little Bit;Supertramp;1977;250;217;229;354;409;529;453;572;577;489;860;805;875;719;746;1008
Take The Long Way Home;Supertramp;1979;0;0;0;0;0;0;0;0;1115;0;1041;1089;1115;1023;875;1075
Goodbye Stranger;Supertramp;1979;0;0;0;0;1241;1392;1180;1364;1418;1421;1593;1469;1528;1399;1252;1533
Cannonball;Supertramp;1985;0;880;0;0;0;0;0;0;0;0;0;0;0;0;0;0
It's Raining Again;Supertramp;1982;0;957;1085;1037;920;1428;1173;1449;1440;1294;1904;1708;1677;1828;1890;0
Rudy;Supertramp;1974;0;960;0;0;0;0;0;1530;0;0;1760;0;1901;1646;1816;0
Baby Love;Supremes;1964;1425;1363;1785;1904;0;0;0;0;0;0;0;0;0;0;0;0
Stop In The Name Of Love;Supremes;1965;1218;1799;0;1701;0;0;1895;0;0;0;0;0;0;0;0;0
Where Did Our Love Go;Supremes;1964;1831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You Can't Hurry Love;Supremes;1966;1234;1874;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Windsurfing;Surfers;1978;0;1646;1828;0;0;0;0;0;0;0;0;0;0;0;0;0
Eye Of The Tiger;Survivor;1982;244;403;604;380;378;464;615;712;863;600;1109;1113;934;764;637;730
Burning Heart;Survivor;1986;0;1484;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arms Of Mary;Sutherland Brothers & Quiver;1976;1091;1244;1087;1499;1516;1910;1543;1867;1876;1697;0;0;0;0;0;0
Luka;Suzanne Vega;1987;727;0;967;1177;1109;1192;1301;1406;1359;1300;1684;1454;1447;1402;1449;1446
If You Can't Give Me Love;Suzi Quatro;1978;1612;1329;1646;1487;1818;1974;1989;0;0;0;0;0;0;0;0;0
Stumblin' In;Suzi Quatro & Chris Norman;1978;1892;1693;1509;0;0;0;0;0;0;0;0;0;0;0;0;0
Sad Sweet Dreamer;Sweet Sensation;1974;0;1793;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hippy Hippy Shake;Swinging Blue Jeans;1964;1644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spooky's Day Off;Swinging Soul Machine;1969;1540;1397;1245;1865;1769;0;0;0;0;0;0;0;0;0;0;0
Zuiderzeeballade;Sylvain Poons & Oetze Verschoor;1962;1228;0;0;1996;1134;0;1855;0;0;0;0;0;0;0;0;0
Little Girl;Syndicate of Sound;1966;1761;1335;0;1571;0;1668;0;0;0;0;0;0;0;0;0;0
Chop Suey!;System Of A Down;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1582
Get It On;T Rex;1971;1339;1060;1172;1224;1641;1705;1527;1692;0;1836;1885;1899;0;1744;0;0
Hot Love;T Rex;1971;0;1379;1546;1843;0;0;0;0;0;0;0;0;0;0;0;0
The Flood;Take That;2010;0;0;0;0;0;0;0;0;0;0;0;0;1329;1587;1824;1815
Back For Good;Take That;1995;856;1133;0;1728;1827;0;0;0;1950;0;1927;1556;1993;0;0;0
Patience;Take That;2006;0;0;0;0;0;0;0;0;0;0;0;1989;0;0;0;0
Such A Shame;Talk Talk;1984;278;264;405;224;344;358;586;602;684;493;621;668;588;692;552;474
Life's What You Make It;Talk Talk;1985;0;0;0;0;0;0;0;1463;1494;1953;1101;1151;1055;1120;1028;926
It's My Life;Talk Talk;1984;549;590;534;697;680;556;895;907;1277;816;892;1115;1004;1057;959;936
Slippery People;Talking Heads;1985;0;448;541;538;637;708;800;703;1076;744;744;647;602;697;573;409
Psycho Killer;Talking Heads;1978;387;618;411;594;721;535;882;785;715;680;579;595;450;703;528;480
Once In A Lifetime;Talking Heads;1981;0;758;671;662;570;689;949;790;1139;799;898;1197;812;887;785;505
Road To Nowhere;Talking Heads;1985;772;517;754;793;774;789;978;908;1181;899;1066;951;949;1152;1021;880
Stand By Your Man;Tammy Wynette;1975;1222;1525;1648;1816;0;0;1696;1841;1873;1919;0;0;0;0;0;0
Twist In My Sobriety;Tanita Tikaram;1988;763;742;670;951;935;1027;971;1042;1182;1017;1231;1565;984;1281;1227;1221
Good Tradition;Tanita Tikaram;1988;1881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heaven Must Be Missing An Angel;Tavares;1976;439;569;455;567;467;525;521;511;599;523;457;402;599;565;580;461
Don't Take Away The Music;Tavares;1976;0;1880;0;0;0;0;0;0;0;0;0;0;0;0;0;0
More Than A Woman;Tavares;1978;1922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Everything Has Changed;Taylor Swift ft. Ed Sheeran;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1601
Ding A Dong;Teach In;1975;1335;1206;1719;1761;1913;1953;1978;0;0;0;0;0;0;0;0;0
Everybody Wants To Rule The World;Tears For Fears;1985;891;953;958;1111;1302;1119;1409;1213;1361;1239;1059;1149;1137;1156;1000;928
Shout!;Tears For Fears;1985;511;468;577;623;927;905;1199;993;1147;966;1140;1034;967;1013;1032;1036
Sowing The Seeds Of Love;Tears For Fears;1989;696;765;662;746;822;1092;1391;1276;1442;1168;926;1000;1119;1129;1114;1058
Change;Tears for Fears;1982;0;1423;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ma Belle Amie;Tee Set;1969;1948;1567;1820;1941;1799;674;1950;1331;0;1678;1378;1772;0;0;0;0
She Likes Weeds;Tee Set;1970;1582;1689;0;1643;1524;685;1995;1252;0;1647;1308;1555;0;0;0;0
Wunderbar;Ten Pole Tudor;1981;0;1955;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You;Ten Sharp;1991;180;331;320;276;229;364;422;447;493;390;485;519;589;809;767;732
I'm Going Home;Ten Years After;1971;349;0;0;311;264;296;266;258;368;296;566;423;554;572;632;611
Dance Little Sister;Terence Trent D'Arby;1987;0;1426;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sign Your Name;Terence Trent D'Arby;1988;0;1523;1714;1987;1668;1758;1833;1934;0;1942;0;1880;1989;0;0;0
Seasons In The Sun;Terry Jacks;1974;1752;1794;0;0;1690;0;1854;0;0;0;0;0;0;0;0;0
Aquarius / Let The Sunshine In;The 5th Dimension;1969;406;507;437;396;512;361;359;484;290;369;429;1095;452;1151;1288;1430
Old And Wise;The Alan Parsons Project;1982;24;28;13;8;9;11;9;11;9;8;18;10;20;21;31;28
The Turn Of A Friendly Card;The Alan Parsons Project;1980;0;0;0;0;132;181;188;245;202;210;281;272;375;386;405;411
Eye In The Sky;The Alan Parsons Project;1982;0;0;0;1883;201;218;184;182;141;181;267;234;301;303;372;421
Don't Answer Me;The Alan Parsons Project;1984;403;379;237;212;366;467;416;518;401;416;770;637;823;981;1051;1167
Oude Maasweg;The Amazing Stroopwafels;1982;191;112;46;44;49;69;26;38;16;29;66;49;81;103;108;125
Ik Ga Naar Frankrijk;The Amazing Stroopwafels;1984;0;0;0;0;0;0;805;879;600;1088;1279;1086;1213;1736;1685;1958
House Of The Rising Sun;The Animals;1964;13;12;6;6;7;8;8;12;7;7;29;18;25;51;55;78
We've Got To Get Out Of This Place;The Animals;1965;993;903;915;984;1049;725;958;1082;919;929;1622;1268;1552;1963;1533;1808
Bring It On Home To Me;The Animals;1965;837;460;531;481;620;542;678;741;551;607;1141;991;1289;1552;1585;1851
It's My Life;The Animals;1965;1207;1139;1188;1554;1699;1359;1521;1739;1667;1591;0;0;0;0;0;0
Ring Of Fire;The Animals & Eric Burdon;1969;0;0;0;1666;1886;1512;1670;1898;1777;1744;0;0;0;0;0;0
San Franciscan Nights;The Animals & Eric Burdon;1967;1782;1470;877;1002;1328;1099;1216;1440;1268;1250;0;1742;0;0;0;0
When I Was Young;The Animals & Eric Burdon;1967;1465;0;1111;605;886;966;1014;1089;1084;1009;1805;1435;0;0;0;0
Love Shack;The B-52'S;1989;0;0;0;0;0;0;0;0;0;0;1053;750;883;1473;1289;1229
Everytime I Think Of You;The Babys;1979;311;172;186;175;304;234;336;232;324;249;546;399;490;608;755;492
Isn't It Time;The Babys;1977;690;540;385;501;646;682;749;707;765;666;891;1019;1093;816;1420;1148
A Piece Of The Action;The Babys;1978;0;0;793;931;1159;1198;1542;1444;1475;1356;1524;1616;1851;1566;1849;1759
The Weight;The Band;1968;734;938;901;565;783;902;706;848;832;774;781;794;933;508;323;324
Umbrella;The Baseballs;2010;0;0;0;0;0;0;0;0;0;0;0;0;748;1223;1584;1664
God Only Knows;The Beach Boys;1966;123;117;137;110;117;88;80;68;42;59;20;20;31;44;59;13
Good Vibrations;The Beach Boys;1966;52;54;75;83;85;73;91;117;68;83;98;105;116;245;265;253
Sloop John B;The Beach Boys;1966;202;227;174;240;240;262;281;301;180;227;299;318;445;716;770;721
Tears in the morning;The Beach Boys;1970;453;470;406;508;448;578;607;789;775;629;632;618;768;1433;1048;997
Wouldn't It Be Nice;The Beach Boys;1966;0;1410;1792;1184;1437;1223;1630;1693;1400;1471;1299;1136;1106;1581;1305;1780
I Can Hear Music;The Beach Boys;1969;1086;858;878;981;1022;1002;1100;1269;1226;1139;1161;1078;1338;0;1887;1887
Barbara Ann;The Beach Boys;1966;1516;1656;1610;1970;1648;1531;1662;1774;1507;1617;0;1941;0;0;0;0
California Girls;The Beach Boys;1965;0;0;0;0;0;0;0;1516;1143;1890;1286;1248;1294;1446;1937;0
Cottonfields;The Beach Boys;1969;0;0;0;1556;0;0;0;0;0;0;0;0;0;0;0;0
Do It Again;The Beach Boys;1968;1468;0;1584;1808;0;0;0;0;0;0;0;0;0;0;0;0
Help Me Rhonda;The Beach Boys;1965;0;1556;1601;1733;1585;1563;1852;1857;1835;1711;0;0;0;0;0;0
Heroes And Villains;The Beach Boys;1967;0;1436;1380;1006;0;1203;1285;1587;1329;1504;1780;1902;1823;0;0;0
I Get Around;The Beach Boys;1964;1602;1076;1421;1753;1686;1564;1843;1986;0;1923;1995;1920;1698;0;0;0
Kokomo;The Beach Boys;1989;0;0;1402;1651;1987;1825;1831;1905;0;1959;0;0;0;0;0;0
Then I Kissed Her;The Beach Boys;1967;1120;1228;1186;1352;1775;1344;1427;1638;1270;1429;1632;1515;1965;0;0;0
Let It Be;The Beatles;1970;27;37;40;47;23;41;55;58;57;49;54;46;56;52;39;50
Hey Jude;The Beatles;1968;11;6;9;15;18;18;14;22;18;16;23;24;24;33;45;58
Yesterday;The Beatles;1965;6;8;24;30;34;37;46;39;32;28;44;33;50;85;76;89
Blackbird;The Beatles;1968;413;523;368;330;251;239;460;142;122;164;132;86;90;67;92;108
Here Comes The Sun;The Beatles;1969;477;383;523;258;275;242;251;185;161;195;154;100;105;143;104;121
A Day In The Life;The Beatles;1967;83;66;87;98;122;127;107;76;49;75;71;75;78;82;126;148
While My Guitar Gently Weeps;The Beatles;1968;312;310;375;190;228;282;240;191;167;204;166;164;168;257;168;176
Strawberry Fields Forever;The Beatles;1967;97;131;180;214;207;259;261;187;183;189;204;247;271;308;301;395
Eleanor Rigby;The Beatles;1966;236;323;420;372;377;338;411;327;292;328;273;320;303;321;308;400
Norwegian Wood (This Bird Has Flown);The Beatles;1965;442;255;402;288;328;328;340;303;261;283;260;306;286;499;430;445
The Long And Winding Road;The Beatles;1970;341;358;256;220;195;298;284;298;252;252;341;296;393;398;393;453
Fool On The Hill;The Beatles;1967;168;190;294;137;199;209;196;203;189;183;256;221;291;389;510;487
Something;The Beatles;1969;655;803;732;621;451;627;320;417;451;430;510;487;512;603;446;519
Penny Lane;The Beatles;1967;266;366;284;322;502;447;510;438;429;424;324;406;443;462;441;529
Come Together;The Beatles;1969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1156;614
Get Back;The Beatles;1969;395;381;353;272;286;411;420;351;312;339;352;365;461;450;648;700
Michelle;The Beatles;1966;287;329;345;388;356;376;325;321;279;312;349;367;501;595;660;703
I Am The Walrus;The Beatles;1967;423;365;763;579;602;644;634;641;541;592;455;530;601;503;594;718
Sgt Pepper's Lonely Hearts Club Band;The Beatles;1967;252;367;485;370;446;443;302;335;221;305;369;389;456;514;643;777
Help;The Beatles;1965;228;290;391;550;389;420;516;467;475;443;472;516;623;466;653;919
Lucy In The Sky With Diamonds;The Beatles;1967;626;0;858;1015;975;1010;918;748;723;804;590;702;695;893;702;953
When I'm Sixty Four;The Beatles;1967;680;934;1194;705;802;739;835;695;669;701;684;796;910;880;863;954
In My Life;The Beatles;1965;0;415;459;596;514;631;589;584;539;562;619;700;837;759;825;969
She's Leaving Home;The Beatles;1967;481;0;506;511;578;668;650;522;470;549;602;660;862;1094;935;1014
All You Need Is Love;The Beatles;1967;213;332;492;608;545;377;249;476;379;392;560;596;688;0;1459;1159
For No One;The Beatles;1966;0;0;0;0;0;0;1161;698;596;1052;789;875;932;988;871;1283
Twist And Shout;The Beatles;1963;0;941;1279;1204;1285;1310;1377;1358;1259;1304;1069;1117;1124;1124;874;1297
Here There And Everywhere;The Beatles;1966;726;1028;685;1007;709;681;810;807;726;733;866;755;1026;1309;1060;1365
I Saw Her Standing There;The Beatles;1963;0;986;1196;1122;828;1072;1057;1076;1131;1058;1050;1029;1197;1198;1292;1490
A Hard Day's Night;The Beatles;1964;502;875;965;1028;931;824;893;890;857;848;936;922;941;648;1161;1524
Yellow Submarine;The Beatles;1966;774;837;1468;971;1397;1051;1177;1185;1202;1160;1118;1129;1105;1449;1166;1552
We Can Work It Out;The Beatles;1965;738;1044;724;843;941;992;1201;1069;930;985;1078;1240;1380;1261;1408;1567
Lady Madonna;The Beatles;1968;851;926;598;1050;851;1171;1032;844;1000;928;879;887;1042;1219;1138;1659
Across The Universe;The Beatles;1970;945;0;1283;0;933;1183;1139;1004;769;998;925;1178;1128;951;1164;1705
All My Loving;The Beatles;1964;1025;1362;1077;1689;1124;1098;1348;1208;1126;1184;1368;1490;1388;1043;1493;1792
I Want To Hold Your Hand;The Beatles;1964;964;1328;1702;1734;1426;1368;1445;1973;1252;1492;1659;1608;1522;1708;1397;1909
And I Love Her;The Beatles;1964;0;1160;1144;1283;860;1163;1098;991;831;959;1199;1142;1118;1162;1424;1921
Love Me Do;The Beatles;1963;0;1387;1600;1238;1399;1357;1467;1606;1331;1424;1572;1596;1773;1306;1401;1936
Girl;The Beatles;1965;0;1319;1233;1183;1057;1108;974;1006;855;976;1154;1145;1273;1289;1475;1944
Paperback Writer;The Beatles;1966;1211;1517;1790;1671;1684;1383;1450;1529;1664;1548;1431;1655;1722;1771;1686;1962
Back In The USSR;The Beatles;1968;0;876;1183;958;898;735;869;1068;931;902;974;907;1005;1084;1643;1992
Baby's In Black;The Beatles;1965;0;0;1738;1339;1526;1461;1407;1428;1459;1457;0;1765;0;1797;0;0
Ballad Of John & Yoko;The Beatles;1969;1292;899;1192;1257;1352;1501;1758;1678;1941;1623;1665;1778;1892;1631;0;0
Can't Buy Me Love;The Beatles;1964;801;1016;1348;1304;1146;1184;1237;1204;1315;1216;1317;1525;1420;1340;1808;0
Day Tripper;The Beatles;1965;0;1427;1673;1780;1558;1459;1556;1479;1405;1474;1444;1680;1399;1464;1740;0
Eight Days A Week;The Beatles;1965;1193;854;1341;1168;1256;1260;1234;1142;920;1098;1180;1320;1166;1231;1553;0
Hello Goodbye;The Beatles;1967;1528;1169;1357;1422;1317;1194;1359;1183;996;1169;1031;944;1031;1415;1613;0
I Feel Fine;The Beatles;1965;1239;917;1292;1682;1327;1700;1669;1622;1578;1568;1701;1931;1853;0;0;0
I Should Have Known Better;The Beatles;1964;834;1716;1764;1871;1676;1915;2000;1879;0;1941;0;0;0;0;0;0
If I Fell;The Beatles;1965;0;1611;883;1272;1200;1425;1460;1271;1180;1255;1284;1443;1563;1936;1909;0
Long Tall Sally;The Beatles;1964;0;1785;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magical Mystery Tour;The Beatles;1967;0;1219;1368;1258;1723;1713;1872;1726;1786;1691;1694;1670;1820;1977;1882;0
No Reply;The Beatles;1965;0;1280;1318;151;1383;1515;1616;1556;1473;1271;1919;1972;0;0;0;0
Ob La Di, Ob La Da;The Beatles;1969;1191;0;1288;1514;1541;1510;1327;1649;1713;1574;1544;1513;1617;1537;1622;0
Please, Please Me;The Beatles;1964;1319;0;1920;1609;0;1832;0;0;1989;0;0;0;0;0;0;0
Rock And Roll Music;The Beatles;1965;0;0;0;1474;1586;1666;1738;1834;1716;1720;0;0;0;0;0;0
She Loves You;The Beatles;1963;527;1145;1489;1431;1231;1114;1526;1369;1328;1323;1474;1757;1964;1530;1586;0
Ticket To Ride;The Beatles;1965;1114;1011;1534;1576;1746;1621;1795;1719;1579;1640;1773;0;0;0;1853;0
I Gotta Feeling;The Black Eyed Peas;2009;0;0;0;0;0;0;0;0;0;0;0;0;188;369;365;402
Where Is The Love;The Black Eyed Peas;2003;0;0;0;0;0;0;0;0;0;0;1034;1209;766;1113;956;1066
Little Black Submarines;The Black Keys;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1318
Tinseltown In The Rain;The Blue Nile;1984;0;0;0;1247;445;532;459;567;537;552;816;879;887;749;759;548
Everybody Needs Somebody To Love;The Blues Brothers;1989;243;389;238;367;253;335;455;507;466;403;561;528;626;507;625;770
I Don't Like Mondays;The Boomtown Rats;1979;479;437;584;644;770;646;746;710;759;685;1476;1338;1440;1707;1342;1846
Diamonds;The Boxer Rebellion;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;871
Give Up Your Guns;The Buoys;1972;208;254;299;250;271;355;430;570;587;427;709;694;835;865;809;1040
Mr. Tambourine Man;The Byrds;1965;302;277;323;324;349;281;365;472;439;375;696;485;707;1512;1009;1310
Turn Turn Turn;The Byrds;1965;594;625;748;833;1031;907;1062;1137;1101;1025;1468;1285;1364;1468;1370;1676
Eight Miles High;The Byrds;1966;565;550;803;451;799;751;728;979;1007;821;1177;1226;1326;1718;1682;1954
All I Really Want To Do;The Byrds;1965;0;0;0;1976;0;0;0;0;0;0;0;0;0;0;0;0
Jesus Is Just Allright;The Byrds;1970;1445;0;1786;0;1948;0;0;0;1778;0;0;0;0;0;0;0
Mr. Spaceman;The Byrds;1966;0;1570;0;1748;0;0;0;0;0;0;0;0;0;0;0;0
My Back Pages;The Byrds;1967;0;964;1118;960;960;895;1112;1267;1607;1191;1772;1647;1670;0;0;0
I Won't Last A Day Without You;The Carpenters;1974;1569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jambalaya (On The Bayou);The Carpenters;1974;0;1272;1454;1397;1642;1654;1520;1597;1569;1567;1835;1711;0;0;0;0
Drive;The Cars;1984;631;524;808;922;925;877;1045;1347;1447;1134;1341;1341;1480;1864;1922;1620
Lea;The Cats;1968;623;527;669;494;513;468;528;361;416;423;385;382;486;493;609;530
One Way Wind;The Cats;1971;224;198;300;328;282;327;280;217;204;233;298;311;411;596;668;540
Marian;The Cats;1969;995;0;737;659;697;701;609;534;565;594;543;571;792;828;1002;905
Scarlet Ribbons;The Cats;1969;0;0;0;554;493;718;629;526;639;610;702;645;741;1002;961;958
Why;The Cats;1969;1060;0;1108;1252;1133;1103;1211;842;1065;1020;957;977;1247;1554;1369;1295
Where Have I Been Wrong;The Cats;1970;0;798;715;1057;873;981;1233;984;1130;1027;985;952;1261;1913;1444;1354
Times Were When;The Cats;1968;0;0;1320;1083;1142;1036;1129;1035;1089;1101;1028;1181;1357;1656;1506;1472
The End Of The Show;The Cats;1980;0;0;0;1277;1239;1225;1405;1221;1384;1337;1277;1439;1669;1946;1670;1690
Rock 'n Roll;The Cats;1974;0;1116;1159;1232;1253;882;745;743;677;770;882;886;1108;1558;1658;1721
Vaya Con Dios;The Cats;1972;0;0;0;1990;1120;1249;1166;1083;1157;1197;1196;1235;1520;1535;1725;1723
Be My Day;The Cats;1974;0;1161;1465;1742;1553;1646;1825;1699;1675;1652;1550;1642;0;0;0;0
Let's Dance;The Cats;1972;1214;0;1344;1863;1513;1708;1605;1534;1888;1646;1857;1796;0;0;0;0
Sure He's A Cat;The Cats;1967;1629;0;0;0;1945;1710;1794;1985;0;1987;1907;1904;0;0;0;0
London Calling;The Clash;1979;0;0;0;0;0;0;0;0;589;1864;659;781;580;560;496;565
Should I Stay Or Should I Go;The Clash;1982;0;0;0;0;0;0;0;0;1745;0;1768;1925;1831;0;1946;1715
Rock The Casbah;The Clash;1982;0;0;0;0;0;0;0;0;0;0;1645;1740;1659;1698;1516;1732
